mjd classification zpsys flux ra flux_error dec zp bandpass magnitude magnitude_error
53737 4.0 ab -15.689277648925781 3.7640743732453426 0.4594748616218567 0.9107405308682366 30.0 sdssr nan nan
53737 4.0 ab -17.19091796875 3.7640729945970675 0.5300929546356201 0.9107405155615357 30.0 sdssr nan nan
53737 4.0 ab nan 3.7640716889865025 inf 0.9107447324748227 30.0 sdssr nan nan
53743 4.0 ab nan 3.7640716022508367 inf 0.9107447545114536 30.0 sdssr nan nan
53766 4.0 ab -17.564138412475586 3.764072999308181 0.5440917611122131 0.9107414154076398 30.0 sdssr nan nan
53772 4.0 ab -18.059354782104492 3.76407159276098 0.54058438539505 0.9107413578105031 30.0 sdssr nan nan
53772 4.0 ab -17.550954818725586 3.764071604343588 0.4796586036682129 0.9107413664910243 30.0 sdssr nan nan
53791 4.0 ab 58243.33984375 3.7640712856110685 3666.876708984375 0.91074286841725 30.0 sdssr 18.086884323157406 0.06835564052489511
53799 4.0 ab nan 3.7640716769335456 inf 0.9107447772208396 30.0 sdssr nan nan
53848 4.0 ab nan 3.7640745248707232 inf 0.9107446044830464 30.0 sdssr nan nan
53848 4.0 ab nan 3.7640715724069556 inf 0.9107446833337551 30.0 sdssr nan nan
53851 4.0 ab -29.188079833984375 3.7640760077654423 1.4429758787155151 0.9107428661914269 30.0 sdssr nan nan
53859 4.0 ab nan 3.7640701283680715 inf 0.9107437300495923 30.0 sdssr nan nan
53879 4.0 ab nan 3.764071677882796 inf 0.9107447505027976 30.0 sdssr nan nan
53883 4.0 ab -17.75834083557129 3.7640744455728465 0.5508614778518677 0.9107405019214599 30.0 sdssr nan nan
53888 4.0 ab nan 3.764071853843135 inf 0.9107448452261369 30.0 sdssr nan nan
53892 4.0 ab nan 3.764071781685936 inf 0.910743927876979 30.0 sdssr nan nan
53911 4.0 ab -17.544347763061523 3.7640729436139146 0.5442880988121033 0.9107405399866274 30.0 sdssr nan nan
53911 4.0 ab nan 3.764071567809866 inf 0.9107448252430018 30.0 sdssr nan nan
53916 4.0 ab -17.790544509887695 3.76407304676754 0.4599956274032593 0.9107413537848849 30.0 sdssr nan nan
53919 4.0 ab -18.102909088134766 3.7640730137384053 0.5240581631660461 0.9107413439340335 30.0 sdssr nan nan
53919 4.0 ab nan 3.764071612914852 inf 0.9107447119642038 30.0 sdssr nan nan
53943 4.0 ab -90.51937103271484 3.7640744832853974 52.25040054321289 0.9107421267038076 30.0 sdssr nan nan
